Acme Industrial Supply – Order Export
Generated 15/03/2024 09:12:44 by j.ramirez@acme.example
CONFIDENTIAL – internal use only

Ord #;Ln;Cust;Item SKU;Description;Qty;Price Each;Curr;Disc %;Ordered On;Shipped;X7
ORD-000101;1;CUST-5560;SKU-1120;Grommet 12mm;4;$0.85;USD;0%;03/08/2024;03/11/2024;RETURNED
ORD-000102;1;CUST-4417;SKU-8823;Drive belt;24;$38.50;USD;10%;03/24/2024;03/27/2024;Returned
ORD-000103;1;CUST-8891;SKU-2287;Seal kit;12;$12.75;USD;5%;03/16/2024;-;pending
ORD-000104;1;CUST-5560;SKU-9902;Café table leg;4;$1,142.00;USD;20%;03/26/2024;N/A;CANCELLED
ORD-000105;1;CUST-8891;SKU-9902;Bearing assembly;1;$1,142.00;USD;10%;03/17/2024;;Pending
ORD-000106;1;CUST-5560;SKU-2287;Seal kit;6;$12.75;USD;15%;03/07/2024;03/10/2024;returned
ORD-000107;1;CUST-7734;SKU-3345;Hex bolt M8;4;$0.12;USD;0%;03/15/2024;03/18/2024;RETURNED
ORD-000108;1;CUST-9001;SKU-2287;Seal kit;500;$12.75;USD;10%;13/45/2024;03/29/2024;Delivered
ORD-000108;2;CUST-9001;SKU-6610;Coupling sleeve;500;$76.40;USD;0%;03/26/2024;03/29/2024;delivered
ORD-000109;1;CUST-2210;SKU-1120;Grommet 12mm;100;$0.85;USD;5%;03/12/2024;03/15/2024;DELIVERED
ORD-000110;1;CUST-2210;SKU-8823;Drive belt;24;$38.50;USD;15%;03/18/2024;03/21/2024;Delivered
ORD-000111;1;CUST-7734;SKU-1120;Grommet 12mm;NULL;$0.85;USD;10%;03/01/2024;-;pending
ORD-000111;2;CUST-7734;SKU-1120;Grommet 12mm;3;$0.85;USD;15%;03/01/2024;N/A;PENDING
ORD-000112;1;CUST-4417;SKU-4471;Widget, large;100;$24.99;USD;5%;03/13/2024;;Cancelled
ORD-000112;2;;SKU-9902;Bearing assembly;2;$1,142.00;USD;20%;03/13/2024;;cancelled
ORD-000113;1;CUST-2210;SKU-9902;Bearing assembly;24;$1,142.00;USD;20%;03/17/2024;n/a;PENDING
ORD-000113;2;CUST-2210;SKU-6610;Coupling sleeve;2;$76.40;USD;5%;03/17/2024;NULL;Pending
ORD-000114;1;CUST-4417;SKU-4471;Widget, large;12;$24.99;USD;20%;03/04/2024;03/07/2024;returned
ORD-000115;1;CUST-8891;SKU-8823;Drive belt;6;n/a;USD;5%;03/13/2024;03/16/2024;DELIVERED
ORD-000116;1;CUST-7734;SKU-9902;Bearing assembly;24;$1,142.00;USD;10%;03/28/2024;03/31/2024;Returned
ORD-000117;1;CUST-9001;SKU-9902;Bearing assembly;12;$1,142.00;USD;0%;03/04/2024;03/07/2024;shipped
ORD-000118;1;CUST-5560;SKU-2287;Seal kit;24;$12.75;USD;5%;03/22/2024;03/25/2024;DELIVERED
ORD-000119;1;CUST-5560;SKU-9902;Bearing assembly;1;$1,142.00;USD;N/A;03/06/2024;03/09/2024;Shipped
ORD-000120;1;CUST-5560;SKU-3345;Hex bolt M8;4;$0.12;USD;15%;03/04/2024;03/07/2024;returned
ORD-000121;1;CUST-9001;SKU-6610;Coupling sleeve;2;$76.40;USD;5%;03/08/2024;03/11/2024;SHIPPED
ORD-000122;1;CUST-4417;SKU-8823;Drive belt;12;$38.50;USD;0%;not recorded;-;Pending
ORD-000123;1;CUST-7734;SKU-9902;Bearing assembly;500;$1,142.00;USD;5%;03/21/2024;-;cancelled
ORD-000124;1;CUST-4417;SKU-4471;Widget, large;1;$24.99;USD;5%;03/12/2024;03/15/2024;RETURNED
ORD-000125;1;CUST-9001;SKU-9902;Bearing assembly;3;$1,142.00;USD;5%;03/26/2024;03/29/2024;Shipped
ORD-000126;1;CUST-2210;SKU-6610;Coupling sleeve;12;$76.40;USD;5%;03/26/2024;-;cancelled
