order_id,line_number,customer_id,sku,product_name,quantity,unit_price,currency,discount_pct,order_date,ship_date,status
ORD-000101,1,CUST-5560,SKU-1120,Grommet 12mm,4,0.85,USD,0,2024-03-08,2024-03-11,returned
ORD-000102,1,CUST-4417,SKU-8823,Drive belt,24,38.50,USD,10,2024-03-24,2024-03-27,returned
ORD-000103,1,CUST-8891,SKU-2287,Seal kit,12,12.75,USD,5,2024-03-16,,pending
ORD-000104,1,CUST-5560,SKU-9902,Bearing assembly,4,1142.00,USD,20,2024-03-26,,cancelled
ORD-000105,1,CUST-8891,SKU-9902,Bearing assembly,1,1142.00,USD,10,2024-03-17,,pending
ORD-000106,1,CUST-5560,SKU-2287,Seal kit,6,12.75,USD,15,2024-03-07,2024-03-10,returned
ORD-000107,1,CUST-7734,SKU-3345,Hex bolt M8,4,0.12,USD,0,2024-03-15,2024-03-18,returned
ORD-000108,1,CUST-9001,SKU-2287,Seal kit,500,12.75,USD,10,2024-03-26,2024-03-29,delivered
ORD-000108,2,CUST-9001,SKU-6610,Coupling sleeve,500,76.40,USD,0,2024-03-26,2024-03-29,delivered
ORD-000109,1,CUST-2210,SKU-1120,Grommet 12mm,100,0.85,USD,5,2024-03-12,2024-03-15,delivered
ORD-000110,1,CUST-2210,SKU-8823,Drive belt,24,38.50,USD,15,2024-03-18,2024-03-21,delivered
ORD-000111,1,CUST-7734,SKU-1120,Grommet 12mm,100,0.85,USD,10,2024-03-01,,pending
ORD-000111,2,CUST-7734,SKU-1120,Grommet 12mm,3,0.85,USD,15,2024-03-01,,pending
ORD-000112,1,CUST-4417,SKU-4471,"Widget, large",100,24.99,USD,5,2024-03-13,,cancelled
ORD-000112,2,CUST-4417,SKU-9902,Bearing assembly,2,1142.00,USD,20,2024-03-13,,cancelled
ORD-000113,1,CUST-2210,SKU-9902,Bearing assembly,24,1142.00,USD,20,2024-03-17,,pending
ORD-000113,2,CUST-2210,SKU-6610,Coupling sleeve,2,76.40,USD,5,2024-03-17,,pending
ORD-000114,1,CUST-4417,SKU-4471,"Widget, large",12,24.99,USD,20,2024-03-04,2024-03-07,returned
ORD-000115,1,CUST-8891,SKU-8823,Drive belt,6,38.50,USD,5,2024-03-13,2024-03-16,delivered
ORD-000116,1,CUST-7734,SKU-9902,Bearing assembly,24,1142.00,USD,10,2024-03-28,2024-03-31,returned
ORD-000117,1,CUST-9001,SKU-9902,Bearing assembly,12,1142.00,USD,0,2024-03-04,2024-03-07,shipped
ORD-000118,1,CUST-5560,SKU-2287,Seal kit,24,12.75,USD,5,2024-03-22,2024-03-25,delivered
ORD-000119,1,CUST-5560,SKU-9902,Bearing assembly,1,1142.00,USD,20,2024-03-06,2024-03-09,shipped
ORD-000120,1,CUST-5560,SKU-3345,Hex bolt M8,4,0.12,USD,15,2024-03-04,2024-03-07,returned
ORD-000121,1,CUST-9001,SKU-6610,Coupling sleeve,2,76.40,USD,5,2024-03-08,2024-03-11,shipped
ORD-000122,1,CUST-4417,SKU-8823,Drive belt,12,38.50,USD,0,2024-03-02,,pending
ORD-000123,1,CUST-7734,SKU-9902,Bearing assembly,500,1142.00,USD,5,2024-03-21,,cancelled
ORD-000124,1,CUST-4417,SKU-4471,"Widget, large",1,24.99,USD,5,2024-03-12,2024-03-15,returned
ORD-000125,1,CUST-9001,SKU-9902,Bearing assembly,3,1142.00,USD,5,2024-03-26,2024-03-29,shipped
ORD-000126,1,CUST-2210,SKU-6610,Coupling sleeve,12,76.40,USD,5,2024-03-26,,cancelled
